Date,rate
2020-01-02,1.8819999694824219
2020-01-03,1.7879999876022339
2020-01-06,1.8109999895095825
2020-01-07,1.8270000219345093
2020-01-08,1.8739999532699585
2020-01-09,1.8580000400543213
2020-01-10,1.8250000476837158
2020-01-13,1.8480000495910645
2020-01-14,1.8179999589920044
2020-01-15,1.7879999876022339
2020-01-16,1.809000015258789
2020-01-17,1.8359999656677246
2020-01-21,1.7690000534057617
2020-01-22,1.7690000534057617
2020-01-23,1.7400000095367432
2020-01-24,1.680999994277954
2020-01-27,1.6050000190734863
2020-01-28,1.6410000324249268
2020-01-29,1.593999981880188
2020-01-30,1.5579999685287476
2020-01-31,1.5199999809265137
2020-02-03,1.5199999809265137
2020-02-04,1.6030000448226929
2020-02-05,1.6490000486373901
2020-02-06,1.6440000534057617
2020-02-07,1.5779999494552612
2020-02-10,1.5470000505447388
2020-02-11,1.590000033378601
2020-02-12,1.6299999952316284
2020-02-13,1.6169999837875366
2020-02-14,1.5880000591278076
2020-02-18,1.555999994277954
2020-02-19,1.5700000524520874
2020-02-20,1.524999976158142
2020-02-21,1.4709999561309814
2020-02-24,1.3769999742507935
2020-02-25,1.3300000429153442
2020-02-26,1.309999942779541
2020-02-27,1.2990000247955322
2020-02-28,1.1269999742507935
2020-03-02,1.0880000591278076
2020-03-03,1.0099999904632568
2020-03-04,0.9919999837875366
2020-03-05,0.9259999990463257
2020-03-06,0.7059999704360962
2020-03-09,0.49900001287460327
2020-03-10,0.7480000257492065
2020-03-11,0.8199999928474426
2020-03-12,0.8489999771118164
2020-03-13,0.9509999752044678
2020-03-16,0.7279999852180481
2020-03-17,0.996999979019165
2020-03-18,1.2660000324249268
2020-03-19,1.11899995803833
2020-03-20,0.9380000233650208
2020-03-23,0.7639999985694885
2020-03-24,0.8159999847412109
2020-03-25,0.8579999804496765
2020-03-26,0.8109999895095825
2020-03-27,0.7490000128746033
2020-03-30,0.6700000166893005
2020-03-31,0.6980000138282776
2020-04-01,0.6349999904632568
2020-04-02,0.6269999742507935
2020-04-03,0.5870000123977661
2020-04-06,0.6759999990463257
2020-04-07,0.7360000014305115
2020-04-08,0.7639999985694885
2020-04-09,0.7289999723434448
2020-04-13,0.7490000128746033
2020-04-14,0.7519999742507935
2020-04-15,0.6380000114440918
2020-04-16,0.609000027179718
2020-04-17,0.6539999842643738
2020-04-20,0.6259999871253967
2020-04-21,0.5709999799728394
2020-04-22,0.6190000176429749
2020-04-23,0.6129999756813049
2020-04-24,0.5960000157356262
2020-04-27,0.656000018119812
2020-04-28,0.6100000143051147
2020-04-29,0.6269999742507935
2020-04-30,0.621999979019165
2020-05-01,0.6420000195503235
2020-05-04,0.6370000243186951
2020-05-05,0.6570000052452087
2020-05-06,0.7110000252723694
2020-05-07,0.6309999823570251
2020-05-08,0.6819999814033508
2020-05-11,0.7260000109672546
2020-05-12,0.6779999732971191
2020-05-13,0.6489999890327454
2020-05-14,0.6190000176429749
2020-05-15,0.6399999856948853
2020-05-18,0.7440000176429749
2020-05-19,0.7110000252723694
2020-05-20,0.6800000071525574
2020-05-21,0.6769999861717224
2020-05-22,0.6570000052452087
2020-05-26,0.6980000138282776
2020-05-27,0.6800000071525574
2020-05-28,0.7049999833106995
2020-05-29,0.6480000019073486
2020-06-01,0.6620000004768372
2020-06-02,0.6800000071525574
2020-06-03,0.7609999775886536
2020-06-04,0.8199999928474426
2020-06-05,0.9039999842643738
2020-06-08,0.8840000033378601
2020-06-09,0.8289999961853027
2020-06-10,0.7480000257492065
2020-06-11,0.652999997138977
2020-06-12,0.6990000009536743
2020-06-15,0.7020000219345093
2020-06-16,0.7559999823570251
2020-06-17,0.7329999804496765
2020-06-18,0.6940000057220459
2020-06-19,0.6970000267028809
2020-06-22,0.7039999961853027
2020-06-23,0.7089999914169312
2020-06-24,0.6840000152587891
2020-06-25,0.6740000247955322
2020-06-26,0.6359999775886536
2020-06-29,0.6359999775886536
2020-06-30,0.652999997138977
2020-07-01,0.6819999814033508
2020-07-02,0.6690000295639038
2020-07-06,0.6840000152587891
2020-07-07,0.6499999761581421
2020-07-08,0.652999997138977
2020-07-09,0.6050000190734863
2020-07-10,0.6330000162124634
2020-07-13,0.6399999856948853
2020-07-14,0.6150000095367432
2020-07-15,0.6299999952316284
2020-07-16,0.6119999885559082
2020-07-17,0.628000020980835
2020-07-20,0.6200000047683716
2020-07-21,0.6069999933242798
2020-07-22,0.5950000286102295
2020-07-23,0.5820000171661377
2020-07-24,0.5889999866485596
2020-07-27,0.609000027179718
2020-07-28,0.5809999704360962
2020-07-29,0.5789999961853027
2020-07-30,0.5410000085830688
2020-07-31,0.5360000133514404
2020-08-03,0.5630000233650208
2020-08-04,0.5149999856948853
2020-08-05,0.5429999828338623
2020-08-06,0.5360000133514404
2020-08-07,0.5619999766349792
2020-08-10,0.5740000009536743
2020-08-11,0.6579999923706055
2020-08-12,0.6700000166893005
2020-08-13,0.7160000205039978
2020-08-14,0.7089999914169312
2020-08-17,0.6830000281333923
2020-08-18,0.6690000295639038
2020-08-19,0.675000011920929
2020-08-20,0.6439999938011169
2020-08-21,0.6399999856948853
2020-08-24,0.6460000276565552
2020-08-25,0.6819999814033508
2020-08-26,0.6869999766349792
2020-08-27,0.7459999918937683
2020-08-28,0.7289999723434448
2020-08-31,0.6930000185966492
2020-09-01,0.671999990940094
2020-09-02,0.6510000228881836
2020-09-03,0.621999979019165
2020-09-04,0.7210000157356262
2020-09-08,0.6840000152587891
2020-09-09,0.703000009059906
2020-09-10,0.6850000023841858
2020-09-11,0.6690000295639038
2020-09-14,0.6710000038146973
2020-09-15,0.6790000200271606
2020-09-16,0.6869999766349792
2020-09-17,0.6840000152587891
2020-09-18,0.6940000057220459
2020-09-21,0.6710000038146973
2020-09-22,0.6639999747276306
2020-09-23,0.6759999990463257
2020-09-24,0.6660000085830688
2020-09-25,0.6589999794960022
2020-09-28,0.6629999876022339
2020-09-29,0.6449999809265137
2020-09-30,0.6769999861717224
2020-10-01,0.6769999861717224
2020-10-02,0.6959999799728394
2020-10-05,0.7620000243186951
2020-10-06,0.7419999837875366
2020-10-07,0.7850000262260437
2020-10-08,0.7649999856948853
2020-10-09,0.7749999761581421
2020-10-12,0.7770000100135803
2020-10-13,0.7269999980926514
2020-10-14,0.722000002861023
2020-10-15,0.7310000061988831
2020-10-16,0.7440000176429749
2020-10-19,0.7609999775886536
2020-10-20,0.796999990940094
2020-10-21,0.8159999847412109
2020-10-22,0.8479999899864197
2020-10-23,0.8410000205039978
2020-10-26,0.8009999990463257
2020-10-27,0.777999997138977
2020-10-28,0.781000018119812
2020-10-29,0.8349999785423279
2020-10-30,0.8600000143051147
2020-11-02,0.8489999771118164
2020-11-03,0.8820000290870667
2020-11-04,0.7680000066757202
2020-11-05,0.7760000228881836
2020-11-06,0.8199999928474426
2020-11-09,0.9580000042915344
2020-11-10,0.972000002861023
2020-11-11,0.9580000042915344
2020-11-12,0.8849999904632568
2020-11-13,0.8930000066757202
2020-11-16,0.906000018119812
2020-11-17,0.871999979019165
2020-11-18,0.8820000290870667
2020-11-19,0.8539999723434448
2020-11-20,0.8289999961853027
2020-11-23,0.8569999933242798
2020-11-24,0.8820000290870667
2020-11-25,0.878000020980835
2020-11-27,0.8420000076293945
2020-11-30,0.843999981880188
2020-12-01,0.9340000152587891
2020-12-02,0.9480000138282776
2020-12-03,0.9200000166893005
2020-12-04,0.968999981880188
2020-12-07,0.9279999732971191
2020-12-08,0.9129999876022339
2020-12-09,0.9409999847412109
2020-12-10,0.9079999923706055
2020-12-11,0.8930000066757202
2020-12-14,0.8920000195503235
2020-12-15,0.9229999780654907
2020-12-16,0.9200000166893005
2020-12-17,0.9300000071525574
2020-12-18,0.9480000138282776
2020-12-21,0.9409999847412109
2020-12-22,0.9179999828338623
2020-12-23,0.9549999833106995
2020-12-24,0.9279999732971191
2020-12-28,0.9330000281333923
2020-12-29,0.9350000023841858
2020-12-30,0.9259999990463257
2020-12-31,0.9169999957084656
2021-01-04,0.9169999957084656
2021-01-05,0.9549999833106995
2021-01-06,1.0420000553131104
2021-01-07,1.0709999799728394
2021-01-08,1.1050000190734863
2021-01-11,1.1319999694824219
2021-01-12,1.1380000114440918
2021-01-13,1.0880000591278076
2021-01-14,1.128999948501587
2021-01-15,1.097000002861023
2021-01-19,1.0920000076293945
2021-01-20,1.090000033378601
2021-01-21,1.1089999675750732
2021-01-22,1.090999960899353
2021-01-25,1.0399999618530273
2021-01-26,1.0399999618530273
2021-01-27,1.0140000581741333
2021-01-28,1.0570000410079956
2021-01-29,1.093000054359436
2021-02-01,1.0770000219345093
2021-02-02,1.1050000190734863
2021-02-03,1.13100004196167
2021-02-04,1.1390000581741333
2021-02-05,1.1699999570846558
2021-02-08,1.159999966621399
2021-02-09,1.156999945640564
2021-02-10,1.1330000162124634
2021-02-11,1.1579999923706055
2021-02-12,1.2000000476837158
2021-02-16,1.2990000247955322
2021-02-17,1.3009999990463257
2021-02-18,1.2869999408721924
2021-02-19,1.3450000286102295
